#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
0 , 209628 , 63.54303 , 10.25650 , 14.23704 , 213.55564 , 92.10370 , 7.17955 , 0.00000 , 14.23704 , 2.31115 , 1.00000 , 0.84805 , 17.69553
1 , 421774 , 176.58393 , 8.91369 , 19.41488 , 291.22319 , 94.76495 , 6.23958 , 0.00000 , 19.41488 , 2.92826 , 1.00000 , 0.82276 , 17.76925
2 , 183746 , 213.38193 , 13.76290 , 10.95085 , 164.26278 , 46.05396 , 9.63403 , 0.00000 , 10.95085 , 3.30244 , 1.00000 , 0.95764 , 17.65578
3 , 725414 , 62.62436 , 11.49741 , 17.37306 , 260.59590 , 94.46534 , 8.04819 , 0.00000 , 17.37306 , 5.11144 , 1.00000 , 0.85400 , 18.06690
4 , 132197 , 41.50874 , 8.41795 , 8.48894 , 127.33415 , 97.07442 , 5.89256 , 0.00000 , 8.48894 , 3.59965 , 1.00000 , 0.96118 , 18.48048
5 , 873833 , 105.55342 , 10.35949 , 19.08058 , 286.20867 , 93.99172 , 7.25164 , 0.00000 , 19.08058 , 4.19108 , 1.00000 , 0.92752 , 18.85828
6 , 419907 , 47.31901 , 9.29999 , 18.35462 , 275.31927 , 36.09539 , 6.50999 , 0.00000 , 18.35462 , 3.45307 , 1.00000 , 0.90388 , 17.60195
7 , 360217 , 144.03483 , 10.55820 , 14.55330 , 218.29956 , 29.45564 , 7.39074 , 0.00000 , 14.55330 , 5.58663 , 1.00000 , 0.94692 , 17.15657
8 , 818556 , 156.80814 , 10.48452 , 16.33126 , 244.96888 , 73.87520 , 7.33916 , 0.00000 , 16.33126 , 5.47848 , 1.00000 , 0.81672 , 16.95780
9 , 691211 , 120.55337 , 10.71329 , 7.26367 , 108.95501 , 16.96561 , 7.49931 , 0.00000 , 7.26367 , 5.58032 , 1.00000 , 0.98775 , 16.04394
10 , 16560 , 41.97087 , 9.48675 , 10.34088 , 155.11327 , 51.47359 , 6.64073 , 0.00000 , 10.34088 , 6.17995 , 1.00000 , 0.94283 , 16.90514
11 , 675485 , 32.27591 , 6.56157 , 10.76506 , 161.47589 , 99.62927 , 4.59310 , 0.00000 , 10.76506 , 2.99350 , 1.00000 , 0.95494 , 18.57448
12 , 811910 , 81.96344 , 9.94261 , 16.44057 , 246.60855 , 49.15208 , 6.95982 , 0.00000 , 16.44057 , 3.43825 , 1.00000 , 0.89648 , 15.85647
13 , 33957 , 156.97326 , 9.05190 , 7.21075 , 108.16119 , 86.59242 , 6.33633 , 0.00000 , 7.21075 , 4.68578 , 1.00000 , 0.95490 , 16.57187
14 , 348944 , 343.76509 , 6.34760 , 9.81139 , 147.17088 , 43.65978 , 4.44332 , 0.00000 , 9.81139 , 0.60053 , 1.00000 , 0.96860 , 16.05254
15 , 154896 , 263.75457 , 14.11016 , 15.71266 , 235.68992 , 82.41294 , 9.87711 , 0.00000 , 15.71266 , 3.00874 , 1.00000 , 0.98565 , 18.33462
16 , 430650 , 128.25324 , 8.22857 , 16.21577 , 243.23657 , 61.78457 , 5.76000 , 0.00000 , 16.21577 , 5.33807 , 1.00000 , 0.86059 , 17.69816
17 , 491775 , 149.05386 , 8.70250 , 11.81282 , 177.19227 , 19.22366 , 6.09175 , 0.00000 , 11.81282 , 3.99921 , 1.00000 , 0.85989 , 16.63746
18 , 939054 , 177.04564 , 10.88491 , 10.92504 , 163.87563 , 76.41938 , 7.61944 , 0.00000 , 10.92504 , 1.20518 , 1.00000 , 0.86610 , 16.84088
19 , 673764 , 25.02504 , 10.74818 , 8.72986 , 130.94792 , 81.35054 , 7.52373 , 0.00000 , 8.72986 , 0.40327 , 1.00000 , 0.94292 , 15.50499
20 , 124328 , 172.67011 , 8.03290 , 15.18089 , 227.71330 , 69.07650 , 5.62303 , 0.00000 , 15.18089 , 4.14100 , 2.00000 , 0.97542 , 16.39267
21 , 400285 , 126.92084 , 12.25784 , 16.47657 , 247.14850 , 21.35780 , 8.58049 , 0.00000 , 16.47657 , 3.51580 , 2.00000 , 0.95712 , 16.02905
22 , 351620 , 86.13219 , 8.40534 , 14.43481 , 216.52210 , 17.27229 , 5.88374 , 0.00000 , 14.43481 , 1.81606 , 2.00000 , 0.97734 , 16.60770
23 , 969754 , 237.68686 , 5.92712 , 7.52429 , 112.86436 , 84.55298 , 4.14899 , 0.00000 , 7.52429 , 5.66161 , 2.00000 , 0.89627 , 18.21247
24 , 768268 , 198.49148 , 9.95705 , 19.39727 , 290.95902 , 19.87751 , 6.96993 , 0.00000 , 19.39727 , 3.74380 , 2.00000 , 0.88135 , 18.21348
25 , 214740 , 92.90717 , 13.31231 , 12.57861 , 188.67920 , 18.52848 , 9.31862 , 0.00000 , 12.57861 , 2.98866 , 2.00000 , 0.90532 , 17.58075
26 , 494800 , 203.72941 , 8.18816 , 7.88622 , 118.29326 , 52.21909 , 5.73171 , 0.00000 , 7.88622 , 1.42054 , 2.00000 , 0.82054 , 16.91389
27 , 880103 , 313.03005 , 7.32706 , 7.63552 , 114.53275 , 76.61221 , 5.12894 , 0.00000 , 7.63552 , 4.80679 , 2.00000 , 0.86735 , 16.19603
28 , 369136 , 88.28391 , 13.42892 , 19.22182 , 288.32729 , 91.74303 , 9.40025 , 0.00000 , 19.22182 , 4.55837 , 2.00000 , 0.93879 , 14.90534
29 , 857605 , 260.30667 , 11.49210 , 7.06102 , 105.91529 , 85.62463 , 8.04447 , 0.00000 , 7.06102 , 2.29612 , 2.00000 , 0.88348 , 17.92808
30 , 697532 , 97.48181 , 9.03976 , 19.22353 , 288.35288 , 62.73657 , 6.32783 , 0.00000 , 19.22353 , 3.95784 , 2.00000 , 0.85782 , 16.04111
31 , 113952 , 253.44066 , 12.21553 , 10.60063 , 159.00952 , 57.48325 , 8.55087 , 0.00000 , 10.60063 , 4.43950 , 2.00000 , 0.87566 , 16.35022
32 , 38266 , 121.18009 , 9.44867 , 19.34373 , 290.15598 , 0.05238 , 6.61407 , 0.00000 , 19.34373 , 3.33118 , 2.00000 , 0.86033 , 14.95248
33 , 231417 , 169.12035 , 11.20098 , 13.50619 , 202.59287 , 22.36773 , 7.84068 , 0.00000 , 13.50619 , 5.30651 , 2.00000 , 0.85095 , 18.36779
34 , 138442 , 231.71679 , 10.36563 , 12.56090 , 188.41347 , 68.74509 , 7.25594 , 0.00000 , 12.56090 , 3.36979 , 2.00000 , 0.97173 , 16.28966
35 , 186933 , 32.56143 , 9.60554 , 16.49598 , 247.43963 , 92.87620 , 6.72388 , 0.00000 , 16.49598 , 5.10452 , 2.00000 , 0.89085 , 19.20886
36 , 339506 , 155.17931 , 11.68027 , 19.46044 , 291.90656 , 44.56322 , 8.17619 , 0.00000 , 19.46044 , 0.16143 , 2.00000 , 0.91451 , 16.57826
37 , 285751 , 151.91184 , 9.68195 , 11.36748 , 170.51220 , 20.85060 , 6.77736 , 0.00000 , 11.36748 , 1.32195 , 2.00000 , 0.91704 , 17.30191
38 , 557641 , 64.68092 , 11.53344 , 15.18030 , 227.70448 , 28.64250 , 8.07341 , 0.00000 , 15.18030 , 3.14721 , 2.00000 , 0.97806 , 18.73956
39 , 266741 , 191.28604 , 12.46024 , 12.62240 , 189.33595 , 41.49153 , 8.72217 , 0.00000 , 12.62240 , 1.28004 , 2.00000 , 0.95062 , 16.19266
40 , 558354 , 42.95333 , 7.16858 , 11.16097 , 167.41452 , 5.23228 , 5.01800 , 0.00000 , 11.16097 , 5.10482 , 3.00000 , 0.84872 , 17.89826
